"filename", "language", "JavaScript", "TypeScript", "JSON", "Gemfile", "Ruby", "HTML", "Ignore", "Markdown", "Log", "CSS", "Docker", "YAML", "Shell Script", "comment", "blank", "total"
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/actioncable.esm-e01089c3ec4fe7817fa9abcad06cab6bdc387f95f0ca6aab4bf7ba7537f70690.js", "JavaScript", -464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -28, -492
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/actiontext-28c61f5197c204db043317a8f8826a87ab31495b741f854d307ca36122deefce.js", "JavaScript", -868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -881
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/activestorage-3ab61e47dd4ee2d79db525ade1dca2ede0ea2b7371fe587e408ee37b7ade265d.js", "JavaScript", -823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -824
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/activestorage.esm-01f58a45d77495cdfbdfcc872902a430426c4391634ec9c3da5f69fbf8418492.js", "JavaScript", -813, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -845
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/es-module-shims-16719834c9bbcdd75f1f99da713bd0c89de488be94d4c5df594511f39cffe7c1.js", "JavaScript", -699, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -78, -97, -874
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/es-module-shims.min-d89e73202ec09dede55fb74115af9c5f9f2bb965433de1c2446e1faa6dac2470.js", "JavaScript", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -6
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/manifest-b84bfa46a33d7f0dc4d2e7b8889486c9a957a5e40713d58f54be71b66954a1ff.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -5
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/stimulus-2e76632599c700da6e187ce7b15eea7c0eace0e09f25d19e55e3b1f7c515397c.js", "JavaScript", -1934, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -41, -1979
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/stimulus-autoloader-c584942b568ba74879da31c7c3d51366737bacaf6fbae659383c0a5653685693.js", "JavaScript", -42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -55
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/stimulus-importmap-autoloader-db2076c783bf2dbee1226e2add52fef290b5d31b5bcd1edd999ac8a6dd31c44a.js", "JavaScript", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7, -28
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/stimulus-loading-1fc59770fb1654500044afd3f5f6d7d00800e5be36746d55b94a2963a7a228aa.js", "JavaScript", -67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -16, -86
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/stimulus.min-b8a9738499c7a8362910cd545375417370d72a9776fb4e766df7671484e2beb7.js", "JavaScript", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4, -8
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/tailwind-9feb1537dce11964234c16da844286da8664b423b40520df83683b2ce14c0961.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/trix-1563ff9c10f74e143b3ded40a8458497eaf2f87a648a5cbbfebdb7dec3447a5e.js", "JavaScript", -5273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -1, -5279
