"filename", "language", "Ruby", "XML", "CSS", "TypeScript React", "TypeScript", "ERB", "JSON with Comments", "JavaScript React", "JavaScript", "comment", "blank", "total"
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/models/application_record.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/models/appointment.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/models/estimation.rb", "Ruby", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 32
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/models/tax_income.rb", "Ruby", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/models/user.rb", "Ruby", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 13
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/api/v1/estimations/_estimation.json.jbuilder", "Ruby", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/api/v1/estimations/my_estimation.json.jbuilder", "Ruby", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/api/v1/estimations/show.json.jbuilder", "Ruby", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/api/v1/tax_incomes/_tax_income.json.jbuilder", "Ruby", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/api/v1/tax_incomes/_tax_income_min.json.jbuilder", "Ruby", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/api/v1/tax_incomes/index.json.jbuilder", "Ruby", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/api/v1/tax_incomes/show.json.jbuilder", "Ruby", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/api/v1/user/_lawyer.json.jbuilder", "Ruby", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/appointments/_appointment.html.erb", "ERB", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/appointments/_appointment.json.jbuilder", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/appointments/_form.html.erb", "ERB", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/appointments/edit.html.erb", "ERB", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/appointments/index.html.erb", "ERB", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/appointments/index.json.jbuilder", "Ruby", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/appointments/new.html.erb", "ERB", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 10
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/appointments/show.html.erb", "ERB", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/appointments/show.json.jbuilder", "Ruby", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/home/index.html.erb", "ERB", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/layouts/application.html.erb", "ERB", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/layouts/mailer.html.erb", "ERB", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/app/views/layouts/mailer.text.erb", "ERB", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"Total", "-", 276, 1, 70, 1674, 643, 100, 24, 100, 0, 363, 454, 3705
